Order ID,Product Name,Category,Sales,Quantity,Profit
CA-2014-115259,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,130.464,6,44.0316
CA-2015-110457,Hon Racetrack Conference Tables,Furniture,787.53,3,165.3813
US-2015-136476,GBC DocuBind 300 Electric Binding Machine,Office Supplies,157.794,1,-115.7156
CA-2016-103730,Artistic Insta-Plaque,Furniture,47.04,3,18.3456
CA-2016-103730,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,30.84,4,13.878
CA-2016-103730,"Companion Letter/Legal File, Black",Office Supplies,226.56,6,63.4368
CA-2016-103730,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,115.02,9,51.759
CA-2016-103730,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,68.04,7,19.7316
US-2014-152030,Global Deluxe High-Back Manager's Chair,Furniture,600.558,3,-8.5794
US-2014-134614,Bevis 44 x 96 Conference Tables,Furniture,617.7,6,-407.682
US-2017-107272,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,2.388,2,-1.8308
US-2017-107272,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,243.992,7,30.499
US-2016-125969,"Global Task Chair, Black",Furniture,81.424,2,-9.1602
US-2016-125969,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,238.56,3,26.2416
US-2017-164147,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,59.97,5,-11.994
US-2017-164147,Xerox 1916,Office Supplies,78.304,2,29.364
US-2017-164147,Staples,Office Supplies,21.456,9,6.9732
CA-2016-145583,Xerox 195,Office Supplies,20.04,3,9.6192
CA-2016-145583,Xerox 1880,Office Supplies,35.44,1,16.6568
CA-2016-145583,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,11.52,4,3.456
CA-2016-145583,Ideal Clamps,Office Supplies,4.02,2,1.9698
CA-2016-145583,GBC Wire Binding Strips,Office Supplies,76.176,3,26.6616
CA-2016-145583,Fiskars Softgrip Scissors,Office Supplies,65.88,6,18.4464
CA-2016-145583,Longer-Life Soft White Bulbs,Furniture,43.12,14,20.6976
CA-2016-110366,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,82.8,2,10.35
CA-2017-106180,Newell 343,Office Supplies,8.82,3,2.3814
CA-2017-106180,Convenience Packs of Business Envelopes,Office Supplies,10.86,3,5.1042
CA-2017-106180,Xerox 1911,Office Supplies,143.7,3,68.976
CA-2017-155376,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,839.43,3,218.2518
CA-2015-110744,Safco Industrial Wire Shelving,Office Supplies,671.93,7,20.1579
CA-2014-110072,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,93.888,4,12.9096
CA-2016-114489,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,384.45,11,103.8015
CA-2016-114489,Anker Astro 15000mAh USB Portable Charger,Technology,149.97,3,5.9988
CA-2016-114489,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,1951.84,8,585.552
CA-2016-114489,GBC Prestige Therm-A-Bind Covers,Office Supplies,171.55,5,80.6285
CA-2016-158834,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,157.92,5,17.766
CA-2016-158834,Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,203.184,2,15.2388
CA-2015-124919,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,58.38,7,26.271
CA-2015-124919,Xerox 1883,Office Supplies,105.52,4,48.5392
CA-2015-124919,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,80.88,6,21.0288
CA-2015-118948,Newell 311,Office Supplies,6.63,3,1.7901
CA-2014-104269,Global Deluxe High-Back Manager's Chair,Furniture,457.568,2,51.4764
CA-2016-114104,Avery 519,Office Supplies,14.62,2,6.8714
CA-2016-114104,Avaya 5420 Digital phone,Technology,944.93,7,236.2325
CA-2016-162733,Xerox 1920,Office Supplies,5.98,1,2.691
CA-2015-119697,Lenovo 17-Key USB Numeric Keypad,Technology,54.384,2,1.3596
CA-2016-154508,Staple envelope,Office Supplies,28.4,5,13.348
CA-2016-113817,Wilson Jones International Size A4 Ring Binders,Office Supplies,27.68,2,9.688
CA-2014-139892,BIC Brite Liner Highlighters,Office Supplies,9.936,3,2.7324
CA-2014-139892,Lexmark MX611dhe Monochrome Laser Printer,Technology,8159.952,8,-1359.992
CA-2014-139892,Space Solutions HD Industrial Steel Shelving.,Office Supplies,275.928,3,-58.6347
CA-2014-139892,SAFCO Arco Folding Chair,Furniture,1740.06,9,-24.858
CA-2014-139892,Sanford Liquid Accent Highlighters,Office Supplies,32.064,6,6.8136
CA-2014-139892,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,177.98,5,-453.849
CA-2014-139892,JBL Micro Wireless Portable Bluetooth Speaker,Technology,143.976,3,8.9985
CA-2014-118962,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Office Supplies,20.94,3,9.8418
CA-2014-118962,Xerox 1913,Office Supplies,110.96,2,53.2608
CA-2014-118962,"Global Value Steno Chair, Gray",Furniture,340.144,7,21.259
US-2014-100853,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,52.448,2,-131.12
US-2014-100853,Avery 51,Office Supplies,20.16,4,6.552
US-2017-152366,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,97.264,4,-243.16
US-2015-101511,"Padded Folding Chairs, Black, 4/Carton",Furniture,396.802,7,-11.3372
US-2015-101511,Acme Rosewood Handle Letter Opener,Office Supplies,15.88,5,-3.7715
CA-2015-137225,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies,3.28,1,1.4104
CA-2014-166191,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,24.816,2,1.8612
CA-2014-166191,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,408.744,7,76.6395
CA-2014-158274,AT&T TR1909W,Technology,503.96,4,131.0296
CA-2014-158274,Nokia Lumia 521 (T-Mobile),Technology,149.95,5,41.986
CA-2014-158274,HP Standard 104 key PS/2 Keyboard,Technology,29,2,7.25
CA-2016-105018,Avery Poly Binder Pockets,Office Supplies,7.16,2,3.4368
CA-2014-123260,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,176.8,8,22.984
CA-2016-157000,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,37.224,3,3.7224
CA-2016-157000,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,20.016,3,6.255
CA-2015-102281,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,899.136,4,112.392
CA-2015-102281,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,71.76,6,20.0928
CA-2015-102281,Xerox 205,Office Supplies,51.84,8,24.8832
CA-2015-102281,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,626.352,3,46.9764
CA-2015-102281,4009 Highlighters by Sanford,Office Supplies,19.9,5,6.567
CA-2015-131457,Poly String Tie Envelopes,Office Supplies,14.28,7,6.7116
CA-2014-140004,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,7.408,2,1.2038
CA-2014-140004,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,6.048,3,1.5876
CA-2017-107720,Decoflex Hanging Personal Folder File,Office Supplies,46.26,3,12.0276
US-2017-124303,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,2.946,2,-2.2586
US-2017-124303,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,16.056,3,5.8203
CA-2017-105074,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Office Supplies,21.744,3,6.795
CA-2014-133690,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,218.75,2,-161.875
CA-2014-133690,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,2.6,1,0.2925
US-2017-116701,Eureka Sanitaire  Commercial Upright,Office Supplies,66.284,2,-178.9668
CA-2017-126382,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,35.168,7,9.6712
CA-2017-108329,Nortel Business Series Terminal T7208 Digital phone,Technology,444.768,4,44.4768
CA-2017-135860,"Tennsco Lockers, Gray",Office Supplies,83.92,4,5.8744
CA-2017-135860,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,131.98,2,35.6346
CA-2017-135860,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,15.92,4,7.4824
CA-2017-135860,"Advantus Push Pins, Aluminum Head",Office Supplies,52.29,9,16.2099
CA-2017-135860,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,91.99,1,3.6796
CA-2015-101007,Memorex Micro Travel Drive 8 GB,Technology,20.8,2,6.5
CA-2015-146262,Avery 505,Office Supplies,23.68,2,8.88
CA-2015-146262,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,452.45,5,-244.323
CA-2015-146262,Speck Products Candyshell Flip Case,Technology,62.982,3,-14.6958
CA-2015-146262,Cisco 9971 IP Video Phone Charcoal,Technology,1188,9,-950.4
CA-2015-146262,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,89.584,2,4.4792
CA-2016-130162,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,93.06,6,26.0568
CA-2016-130162,Adtran 1202752G1,Technology,302.376,3,22.6782
CA-2015-169397,OIC Bulk Pack Metal Binder Clips,Office Supplies,5.584,2,1.8148
CA-2015-169397,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Office Supplies,22.704,6,8.2302
CA-2015-169397,Ibico Standard Transparent Covers,Office Supplies,19.776,4,-13.8432
CA-2015-169397,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,72.704,4,19.0848
CA-2015-169397,Swingline SM12-08 MicroCut Jam Free Shredder,Technology,479.988,4,-383.9904
CA-2015-169397,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Office Supplies,27.168,2,2.7168
CA-2015-163055,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Office Supplies,2.2,1,0.968
CA-2015-163055,Bevis 36 x 72 Conference Tables,Furniture,622.45,5,136.939
CA-2015-163055,Rogers Deluxe File Chest,Office Supplies,21.98,1,0.2198
US-2015-145436,Global Low Back Tilter Chair,Furniture,161.568,2,-28.2744
US-2015-145436,"Global Push Button Manager's Chair, Indigo",Furniture,389.696,8,43.8408
US-2014-156216,GBC Instant Index System for Binding Systems,Office Supplies,18.648,7,-12.432
US-2017-100930,Bush Advantage Collection Round Conference Table,Furniture,233.86,2,-102.048
US-2017-100930,Bretford Rectangular Conference Table Tops,Furniture,620.6145,3,-248.2458
US-2017-100930,GBC Instant Index System for Binding Systems,Office Supplies,5.328,2,-3.552
US-2017-100930,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,258.072,3,0
US-2017-100930,Logitech P710e Mobile Speakerphone,Technology,617.976,3,-7.7247
CA-2017-160514,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Office Supplies,10.56,2,4.752
CA-2016-157749,Xerox 1957,Office Supplies,25.92,5,9.396
CA-2016-157749,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,419.68,5,-356.728
CA-2016-157749,Staple-based wall hangings,Furniture,11.688,3,-4.6752
CA-2016-157749,PureGear Roll-On Screen Protector,Technology,31.984,2,11.1944
CA-2016-157749,KI Conference Tables,Furniture,177.225,5,-120.513
CA-2016-157749,Eldon 100 Class Desk Accessories,Furniture,4.044,3,-2.8308
CA-2016-157749,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,7.408,2,1.2038
CA-2014-131926,Global Deluxe High-Back Manager's Chair,Furniture,2001.86,7,580.5394
CA-2014-131926,Safco Steel Mobile File Cart,Office Supplies,166.72,2,41.68
CA-2014-131926,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,47.88,6,23.94
CA-2014-131926,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,1503.25,5,496.0725
CA-2014-131926,Xerox 205,Office Supplies,25.92,4,12.4416
CA-2016-154739,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,321.568,2,28.1372
CA-2016-145625,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Office Supplies,7.61,1,3.5767
CA-2016-145625,Logitech P710e Mobile Speakerphone,Technology,3347.37,13,636.0003
CA-2016-146941,"Fellowes Personal Hanging Folder Files, Navy",Office Supplies,80.58,6,22.5624
CA-2016-146941,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,361.92,4,162.864
US-2015-159982,Eldon 100 Class Desk Accessories,Furniture,12.132,9,-8.4924
US-2015-159982,"Belkin 19"" Vented Equipment Shelf, Black",Office Supplies,82.368,2,-19.5624
US-2015-159982,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,53.92,5,4.044
US-2015-159982,Logitech Mobile Speakerphone P710e - speaker phone,Technology,647.904,6,56.6916
CA-2017-163139,Sabrent 4-Port USB 2.0 Hub,Technology,20.37,3,6.9258
CA-2017-163139,Safco Industrial Shelving,Office Supplies,221.55,3,6.6465
CA-2017-163139,Acco 3-Hole Punch,Office Supplies,17.52,5,6.132
US-2017-155299,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Office Supplies,1.624,2,-4.466
US-2014-106992,Lexmark MX611dhe Monochrome Laser Printer,Technology,3059.982,3,-509.997
US-2014-106992,Xerox WorkCentre 6505DN Laser Multifunction Printer,Technology,2519.958,7,-251.9958
CA-2016-125318,Cisco Small Business SPA 502G VoIP phone,Technology,328.224,4,28.7196
CA-2015-155040,Microsoft Sculpt Comfort Mouse,Technology,79.9,2,35.156
CA-2017-136826,"Quartet Omega Colored Chalk, 12/Pack",Office Supplies,14.016,3,4.7304
CA-2016-111010,Bagged Rubber Bands,Office Supplies,7.56,6,0.3024
US-2017-145366,Safco Commercial Shelving,Office Supplies,37.208,1,-7.4416
US-2017-145366,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Office Supplies,57.576,3,21.591
CA-2017-163979,Adjustable Depth Letter/Legal Cart,Office Supplies,725.84,4,210.4936
CA-2015-155334,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,209.93,7,92.3692
CA-2015-155334,Regeneration Desk Collection,Furniture,5.28,3,2.3232
CA-2015-155334,Presstex Flexible Ring Binders,Office Supplies,10.92,3,4.095
CA-2017-118136,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Office Supplies,8.82,2,4.0572
CA-2017-118136,Newell 330,Office Supplies,5.98,1,1.5548
CA-2017-132976,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",Office Supplies,11.648,2,4.0768
CA-2017-132976,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Office Supplies,18.176,4,5.9072
CA-2017-132976,Eldon Simplefile Box Office,Office Supplies,59.712,6,5.9712
CA-2017-132976,Avery 489,Office Supplies,24.84,3,8.694
US-2015-161991,Round Ring Binders,Office Supplies,2.08,5,-3.432
US-2015-161991,Bose SoundLink Bluetooth Speaker,Technology,1114.4,7,376.11
CA-2015-130890,"Bevis Round Bullnose 29"" High Table Top",Furniture,1038.84,5,51.942
CA-2015-130883,Easy-staple paper,Office Supplies,141.76,5,47.844
CA-2015-130883,Microsoft Arc Touch Mouse,Technology,239.8,5,47.96
CA-2015-130883,Xerox 216,Office Supplies,31.104,6,10.8864
CA-2016-112697,GBC VeloBinder Electric Binding Machine,Office Supplies,254.058,7,-169.372
CA-2016-112697,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,194.528,2,24.316
CA-2016-112697,Premier Automatic Letter Opener,Office Supplies,961.48,5,-204.3145
CA-2016-110772,Advantus SlideClip Paper Clips,Office Supplies,19.096,7,6.6836
